"season","player_id","player_name","team_id","team_name","shot_zone_basic","shots_attempted","shots_made","percentage","team_average","league_average"
"2010-2011","101107","Marvin Williams","1610612737","Atlanta Hawks","Above the Break 3",48,14,29.17,34.0,34.93
"2010-2011","101107","Marvin Williams","1610612737","Atlanta Hawks","Backcourt",1,0,0.0,7.69,2.99
"2010-2011","101107","Marvin Williams","1610612737","Atlanta Hawks","In The Paint (Non-RA)",65,23,35.38,44.18,38.99
"2010-2011","101107","Marvin Williams","1610612737","Atlanta Hawks","Left Corner 3",30,11,36.67,38.51,39.16
"2010-2011","101107","Marvin Williams","1610612737","Atlanta Hawks","Mid-Range",208,86,41.35,42.09,40.03
"2010-2011","101107","Marvin Williams","1610612737","Atlanta Hawks","Restricted Area",154,100,64.94,62.37,61.99
"2010-2011","101107","Marvin Williams","1610612737","Atlanta Hawks","Right Corner 3",31,12,38.71,37.38,39.72
"2010-2011","1710","Mike Bibby","1610612737","Atlanta Hawks","Above the Break 3",188,84,44.68,34.0,34.93
"2010-2011","1710","Mike Bibby","1610612737","Atlanta Hawks","In The Paint (Non-RA)",14,6,42.86,44.18,38.99
"2010-2011","1710","Mike Bibby","1610612737","Atlanta Hawks","Left Corner 3",46,21,45.65,38.51,39.16
"2010-2011","1710","Mike Bibby","1610612737","Atlanta Hawks","Mid-Range",138,51,36.96,42.09,40.03
"2010-2011","1710","Mike Bibby","1610612737","Atlanta Hawks","Restricted Area",33,22,66.67,62.37,61.99
"2010-2011","1710","Mike Bibby","1610612737","Atlanta Hawks","Right Corner 3",22,8,36.36,37.38,39.72
"2010-2011","200756","Hilton Armstrong","1610612737","Atlanta Hawks","Above the Break 3",1,1,100.0,34.0,34.93
"2010-2011","200756","Hilton Armstrong","1610612737","Atlanta Hawks","In The Paint (Non-RA)",2,0,0.0,44.18,38.99
"2010-2011","200756","Hilton Armstrong","1610612737","Atlanta Hawks","Mid-Range",5,3,60.0,42.09,40.03
"2010-2011","200756","Hilton Armstrong","1610612737","Atlanta Hawks","Restricted Area",4,2,50.0,62.37,61.99
"2010-2011","201143","Al Horford","1610612737","Atlanta Hawks","Above the Break 3",2,0,0.0,34.0,34.93
"2010-2011","201143","Al Horford","1610612737","Atlanta Hawks","In The Paint (Non-RA)",211,104,49.29,44.18,38.99
"2010-2011","201143","Al Horford","1610612737","Atlanta Hawks","Mid-Range",464,235,50.65,42.09,40.03
"2010-2011","201143","Al Horford","1610612737","Atlanta Hawks","Restricted Area",242,172,71.07,62.37,61.99
"2010-2011","201143","Al Horford","1610612737","Atlanta Hawks","Right Corner 3",2,2,100.0,37.38,39.72
"2010-2011","201952","Jeff Teague","1610612737","Atlanta Hawks","Above the Break 3",42,15,35.71,34.0,34.93
"2010-2011","201952","Jeff Teague","1610612737","Atlanta Hawks","Backcourt",1,0,0.0,7.69,2.99
"2010-2011","201952","Jeff Teague","1610612737","Atlanta Hawks","In The Paint (Non-RA)",90,43,47.78,44.18,38.99
"2010-2011","201952","Jeff Teague","1610612737","Atlanta Hawks","Left Corner 3",3,2,66.67,38.51,39.16
"2010-2011","201952","Jeff Teague","1610612737","Atlanta Hawks","Mid-Range",62,16,25.81,42.09,40.03
"2010-2011","201952","Jeff Teague","1610612737","Atlanta Hawks","Restricted Area",104,56,53.85,62.37,61.99
