"player_id","player_name","team_id","team_name","shots_attempted","shots_made","total_points","total_3_points","efg","pps"
"101150","Lou Williams","1610612737","Atlanta Hawks",216,84,192,72,0.444,0.89
"1627739","Kris Dunn","1610612737","Atlanta Hawks",12,1,2,0,0.083,0.17
"1628381","John Collins","1610612737","Atlanta Hawks",771,429,941,249,0.610,1.22
"1628981","Bruno Fernando","1610612737","Atlanta Hawks",44,18,36,0,0.409,0.82
"1628989","Kevin Huerter","1610612737","Atlanta Hawks",731,316,772,420,0.528,1.06
"1629027","Trae Young","1610612737","Atlanta Hawks",1112,487,1110,408,0.499,1.00
"1629164","Brandon Goodwin","1610612737","Atlanta Hawks",223,84,200,96,0.448,0.90
"1629629","Cam Reddish","1610612737","Atlanta Hawks",263,96,225,99,0.428,0.86
"1629631","De'Andre Hunter","1610612737","Atlanta Hawks",248,120,271,93,0.546,1.09
"1630168","Onyeka Okongwu","1610612737","Atlanta Hawks",149,96,192,0,0.644,1.29
"1630219","Skylar Mays","1610612737","Atlanta Hawks",98,44,102,42,0.520,1.04
"1630233","Nathan Knight","1610612737","Atlanta Hawks",100,37,80,18,0.400,0.80
"200765","Rajon Rondo","1610612737","Atlanta Hawks",110,44,105,51,0.477,0.95
"201568","Danilo Gallinari","1610612737","Atlanta Hawks",475,206,515,309,0.542,1.08
"203503","Tony Snell","1610612737","Atlanta Hawks",171,88,238,186,0.696,1.39
"203524","Solomon Hill","1610612737","Atlanta Hawks",298,107,282,204,0.473,0.95
"203991","Clint Capela","1610612737","Atlanta Hawks",695,413,826,0,0.594,1.19
"203992","Bogdan Bogdanovic","1610612737","Atlanta Hawks",565,267,680,438,0.602,1.20
"1627759","Jaylen Brown","1610612738","Boston Celtics",1111,538,1238,486,0.557,1.11
"1628369","Jayson Tatum","1610612738","Boston Celtics",1318,605,1397,561,0.530,1.06
"1628400","Semi Ojeleye","1610612738","Boston Celtics",221,89,236,174,0.534,1.07
"1628436","Luke Kornet","1610612738","Boston Celtics",74,35,79,27,0.534,1.07
"1628464","Daniel Theis","1610612738","Boston Celtics",288,159,351,99,0.609,1.22
"1629021","Moritz Wagner","1610612738","Boston Celtics",14,4,10,6,0.357,0.71
"1629035","Carsen Edwards","1610612738","Boston Celtics",111,47,112,54,0.505,1.01
"1629057","Robert Williams III","1610612738","Boston Celtics",258,186,372,0,0.721,1.44
"1629605","Tacko Fall","1610612738","Boston Celtics",29,21,42,0,0.724,1.45
"1629641","Romeo Langford","1610612738","Boston Celtics",59,21,47,15,0.398,0.80
"1629682","Tremont Waters","1610612738","Boston Celtics",84,34,83,45,0.494,0.99
"1629684","Grant Williams","1610612738","Boston Celtics",247,108,264,144,0.534,1.07
"1629750","Javonte Green","1610612738","Boston Celtics",71,39,85,21,0.599,1.20
"1630174","Aaron Nesmith","1610612738","Boston Celtics",178,78,196,120,0.551,1.10
"1630202","Payton Pritchard","1610612738","Boston Celtics",418,184,470,306,0.562,1.12
"201952","Jeff Teague","1610612738","Boston Celtics",188,78,182,78,0.484,0.97
"202684","Tristan Thompson","1610612738","Boston Celtics",326,169,338,0,0.518,1.04
"202689","Kemba Walker","1610612738","Boston Celtics",676,284,695,381,0.514,1.03
"203095","Evan Fournier","1610612738","Boston Celtics",172,77,199,135,0.578,1.16
